user_id,datetime,day_of_week,game_type,category,is_resolved,selected_answer,correct_answer,wrong_type,student_profile,question_id,reaction_time,repeat_count
1,2025-06-03 17:27:00,Tuesday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_01,2.22,1
1,2025-06-03 17:27:00,Tuesday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_01,8.31,1
1,2025-06-06 17:47:00,Friday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_02,3.26,1
1,2025-06-08 19:02:00,Sunday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_02,7.42,1
1,2025-06-10 18:57:00,Tuesday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_01,9.33,1
1,2025-06-11 21:56:00,Wednesday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_01,5.24,1
1,2025-06-12 18:23:00,Thursday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_02,8.39,1
1,2025-06-13 18:29:00,Friday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_03,9.04,1
1,2025-06-13 18:29:00,Friday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_03,5.61,1
1,2025-06-16 17:33:00,Monday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_04,8.51,1
1,2025-06-17 18:54:00,Tuesday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_03,7.97,1
1,2025-06-18 18:20:00,Wednesday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_04,4.72,1
1,2025-06-18 18:20:00,Wednesday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_05,3.96,1
1,2025-06-19 19:58:00,Thursday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_02,7.99,1
1,2025-06-19 19:58:00,Thursday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_06,5.49,2
1,2025-06-21 20:34:00,Saturday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_04,3.4,2
1,2025-06-23 20:38:00,Monday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_07,4.96,1
1,2025-06-23 20:38:00,Monday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_05,7.49,2
1,2025-06-25 21:56:00,Wednesday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_06,5.31,2
1,2025-06-29 19:29:00,Sunday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_08,2.18,2
1,2025-06-29 19:29:00,Sunday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_03,6.64,1
1,2025-06-30 21:22:00,Monday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_09,6.02,2
1,2025-07-01 21:31:00,Tuesday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_10,2.02,2
1,2025-07-02 17:12:00,Wednesday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_05,5.38,2
1,2025-07-03 20:16:00,Thursday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_01,9.45,3
1,2025-07-03 20:16:00,Thursday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_04,4.48,2
1,2025-07-06 17:40:00,Sunday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_06,4.64,2
1,2025-07-07 21:43:00,Monday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_02,3.17,3
1,2025-07-09 21:34:00,Wednesday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_03,4.46,2
1,2025-07-10 17:05:00,Thursday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_05,7.59,2
1,2025-07-11 18:47:00,Friday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_06,9.71,2
1,2025-07-11 18:47:00,Friday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_04,7.83,2
1,2025-07-15 21:55:00,Tuesday,harf labirenti,letter,False,d,b,harf,ilkokul,letter_07,4.61,1
1,2025-07-15 21:55:00,Tuesday,harf labirenti,letter,False,d,b,harf,ilkokul,letter_08,9.18,1
1,2025-07-16 18:47:00,Wednesday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_05,3.43,3
1,2025-07-20 21:10:00,Sunday,harf labirenti,letter,False,d,b,harf,ilkokul,letter_09,8.29,1
1,2025-07-21 18:44:00,Monday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_07,4.63,2
1,2025-07-22 19:09:00,Tuesday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_08,3.83,1
1,2025-07-22 19:09:00,Tuesday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_06,7.82,3
1,2025-07-27 20:06:00,Sunday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_09,2.7,1
1,2025-07-27 20:06:00,Sunday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_07,8.76,3
1,2025-07-28 19:29:00,Monday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_08,2.24,4
1,2025-07-28 19:29:00,Monday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_07,6.3,3
2,2025-06-03 19:48:00,Tuesday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_10,8.9,1
2,2025-06-03 19:48:00,Tuesday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_10,9.47,1
2,2025-06-04 20:35:00,Wednesday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_01,5.38,1
2,2025-06-05 19:18:00,Thursday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_09,7.81,1
2,2025-06-05 19:18:00,Thursday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_10,4.23,1
2,2025-06-07 21:14:00,Saturday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_08,3.26,1
2,2025-06-07 21:14:00,Saturday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_01,3.07,1
2,2025-06-12 19:09:00,Thursday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_09,5.89,1
2,2025-06-14 18:23:00,Saturday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_01,3.45,1
2,2025-06-15 19:42:00,Sunday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_02,9.71,1
2,2025-06-15 19:42:00,Sunday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_02,9.19,1
2,2025-06-16 18:19:00,Monday,harf labirenti,letter,False,d,b,harf,ilkokul,letter_03,3.64,1
2,2025-06-18 17:40:00,Wednesday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_03,2.98,1
2,2025-06-18 17:40:00,Wednesday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_02,3.79,1
2,2025-06-20 20:37:00,Friday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_03,9.64,1
2,2025-06-20 20:37:00,Friday,harf labirenti,letter,False,d,b,harf,ilkokul,letter_04,3.75,1
2,2025-06-21 20:10:00,Saturday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_05,2.79,2
2,2025-06-21 20:10:00,Saturday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_06,6.76,2
2,2025-06-22 21:15:00,Sunday,harf labirenti,letter,False,d,b,harf,ilkokul,letter_07,3.56,1
2,2025-06-22 21:15:00,Sunday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_04,7.32,1
2,2025-06-23 19:30:00,Monday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_10,2.89,1
2,2025-06-23 19:30:00,Monday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_05,3.57,2
2,2025-06-25 21:24:00,Wednesday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_01,5.66,2
2,2025-06-27 17:55:00,Friday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_02,4.56,2
2,2025-06-27 17:55:00,Friday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_03,9.11,2
2,2025-06-28 21:58:00,Saturday,renkli seste uyum,letter,False,mavi,sarı,ses,ilkokul,letter_08,4.04,2
2,2025-06-29 21:01:00,Sunday,boşluğu doldur,word,False,kalem,kitap,kelime,ilkokul,word_06,4.16,2
2,2025-06-29 21:01:00,Sunday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_07,7.7,1
2,2025-06-30 20:52:00,Monday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_04,6.66,1
2,2025-07-02 17:58:00,Wednesday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_04,5.14,3
2,2025-07-02 17:58:00,Wednesday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_08,6.22,2
2,2025-07-03 18:05:00,Thursday,renkleri sıralama,color,False,yeşil-kırmızı-mavi,kırmızı-sarı-yeşil,renk,ilkokul,color_05,7.05,3
2,2025-07-03 18:05:00,Thursday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_09,6.07,2
2,2025-07-04 18:15:00,Friday,sayı-şekil eşleştirme,number,False,2-kare,2-üçgen,eşleşme,ilkokul,number_05,8.39,2
2,2025-07-07 19:10:00,Monday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_06,8.64,2
2,2025-07-07 19:10:00,Monday,geriye sayma,number,False,"3, 5, 4","5, 4, 3",sıra,ilkokul,number_07,5.53,2
2,2025-07-09 19:40:00,Wednesday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_10,4.47,2
2,2025-07-09 19:40:00,Wednesday,anlam seç,word,False,kırmızı,akıllı,anlam,ilkokul,word_01,7.66,3
